No.,Deportivos/GT,Manejo,Confiabilidad,Ajuste y Terminado,General
1,Acura 3.2CL,7.83,8.17,7.67,7.8
2,Acura RSX,9.46,9.35,8.97,9.02
3,Audi TT,9.58,8.74,9.38,9
4,BMW 3-Series/M3,9.52,8.39,8.55,8.39
5,Chevrolet Corvette,9.64,8.54,7.87,8.82
6,Ford Mustang,8.85,8.7,7.34,8.34
7,Honda Civic Si,9.31,9.5,7.93,8.92
8,Infiniti G35,9.34,8.96,8.07,8.7
9,Mazda RX-8,9.79,8.96,8.12,8.58
10,Mini Cooper,10,8.69,8.33,8.76
11,Mitsubishi Eclipse,8.95,8.25,7.36,8.17
12,Nissan 350Z,9.35,7.56,8.21,8.07
13,Porsche 911,9.91,8.86,9.55,9.55
14,Toyota Celica,9.29,9.04,7.97,8.77
